"學年度","設立別","學程別","群科別","畢業生人數","正在接受職業訓練人數","正在軍中服役人數","需要工作而未找到人數","補習或準備升學人數","健康不良在家休養人數","準備出國人數","其他人數","正在接受職業訓練比率","正在軍中服役比率","需要工作而未找到比率","補習或準備升學比率","健康不良在家休養比率","準備出國比率","其他比率"
109,縣市立,專業群科,餐旅群,240,0,1,0,1,0,0,2,0,0.416666666666667,0,0.416666666666667,0,0,0.833333333333333
109,縣市立,專業群科,藝術群,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,縣市立,專業群科,綜合,472,20,2,78,15,26,0,36,4.23728813559322,0.423728813559322,16.5254237288136,3.17796610169492,5.50847457627119,0,7.6271186440678
109,縣市立,綜合高中,學術群,1868,3,2,3,16,0,0,1,0.160599571734475,0.107066381156317,0.160599571734475,0.856531049250535,0,0,0.0535331905781585
109,縣市立,綜合高中,機械群,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,縣市立,綜合高中,電機與電子群,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,縣市立,綜合高中,土木與建築群,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,縣市立,綜合高中,商業與管理群,124,0,0,1,2,0,0,0,0,0,0.806451612903226,1.61290322580645,0,0,0
109,縣市立,綜合高中,外語群,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,縣市立,綜合高中,設計群,117,0,0,0,1,0,0,0,0,0,0,0.854700854700855,0,0,0
109,縣市立,綜合高中,農業群,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,縣市立,綜合高中,餐旅群,99,0,4,5,0,0,0,0,0,4.04040404040404,5.05050505050505,0,0,0,0
109,縣市立,綜合高中,藝術群,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,縣市立,綜合高中,綜合,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,縣市立,實用技能學程,機械群,106,0,5,1,1,1,0,0,0,4.71698113207547,0.943396226415094,0.943396226415094,0.943396226415094,0,0
109,縣市立,實用技能學程,動力機械群,36,0,6,0,0,0,1,1,0,16.6666666666667,0,0,0,2.77777777777778,2.77777777777778
109,縣市立,實用技能學程,電機與電子群,91,1,2,0,1,0,0,0,1.0989010989011,2.1978021978022,0,1.0989010989011,0,0,0
109,縣市立,實用技能學程,土木與建築群,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,縣市立,實用技能學程,商業與管理群,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,縣市立,實用技能學程,設計群,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,縣市立,實用技能學程,食品群,17,0,0,1,2,0,0,0,0,0,5.88235294117647,11.7647058823529,0,0,0
109,縣市立,實用技能學程,餐旅群,66,0,0,1,0,1,0,0,0,0,1.51515151515152,0,1.51515151515152,0,0
