學年度,設立別,學校所在地別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數
106,私立,連江縣,0,0,0,0,0,0,0,0
107,國立,新北市,491,2,1,0,13,0,0,0
107,國立,臺北市,1370,0,3,0,56,0,1,0
107,國立,桃園市,1565,3,14,9,20,0,1,1
107,國立,臺中市,1477,2,2,39,39,0,5,2
107,國立,臺南市,9922,14,104,65,298,15,7,18
107,國立,高雄市,4306,7,32,26,179,2,2,24
107,國立,宜蘭縣,3533,4,84,44,100,3,5,5
107,國立,新竹市,1489,7,3,8,45,0,0,3
107,國立,苗栗縣,2926,7,27,12,86,2,1,5
107,國立,彰化縣,8242,19,65,57,143,6,5,30
107,國立,南投縣,3218,4,23,36,78,3,0,22
107,國立,雲林縣,3359,30,68,32,82,5,0,9
107,國立,嘉義市,940,9,15,7,24,0,0,4
107,國立,屏東縣,3683,21,33,81,85,4,0,31
107,國立,臺東縣,1249,4,72,5,36,0,2,9
107,國立,花蓮縣,1782,2,23,13,40,2,2,6
107,國立,澎湖縣,799,3,17,16,7,0,1,1
107,國立,基隆市,1563,4,5,13,38,3,0,3
107,國立,新竹市,2730,0,4,5,73,0,0,0
107,國立,嘉義市,3683,6,45,36,119,3,1,10
107,國立,金門縣,565,1,9,4,5,1,0,8
107,國立,連江縣,76,0,0,0,1,0,0,0
107,國立,新北市,12927,8,64,69,424,10,9,93
107,國立,臺北市,18691,49,35,14,546,3,16,5
107,國立,桃園市,7983,4,30,13,286,3,3,14
107,國立,臺中市,12335,24,78,43,333,4,2,22
107,國立,臺南市,595,0,1,0,37,0,0,0
107,國立,高雄市,10710,11,43,21,544,5,16,20
107,國立,宜蘭縣,70,0,0,0,1,0,1,2
107,國立,新竹市,451,0,3,0,10,0,0,0
107,國立,苗栗縣,631,3,9,0,13,0,0,1
107,國立,彰化縣,940,0,5,1,33,1,0,4
107,國立,南投縣,220,0,0,0,12,0,0,0
107,國立,雲林縣,388,1,10,0,6,1,0,1
107,國立,嘉義市,234,0,3,0,5,0,0,0
107,國立,屏東縣,588,1,6,1,28,0,1,0
107,國立,臺東縣,13,0,0,1,0,0,0,0
107,國立,花蓮縣,35,0,0,0,0,0,0,0
107,國立,澎湖縣,0,0,0,0,0,0,0,0
107,國立,基隆市,417,0,7,2,14,0,0,1
107,國立,新竹市,886,2,3,1,16,0,0,0
107,國立,嘉義市,0,0,0,0,0,0,0,0
107,國立,金門縣,0,0,0,0,0,0,0,0
107,國立,連江縣,0,0,0,0,0,0,0,0
107,私立,新北市,13198,77,156,182,283,24,26,59
107,私立,臺北市,12198,30,140,72,159,26,58,61
107,私立,桃園市,15069,64,318,333,200,29,12,109
107,私立,臺中市,18304,28,248,244,306,34,48,55
107,私立,臺南市,8173,16,167,157,175,8,14,72
107,私立,高雄市,11831,70,227,318,214,38,36,73
107,私立,宜蘭縣,462,0,8,0,5,0,0,0
