學年度,設立別,學程別,群科別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數
103,國立,綜合高中,水產群,42,0,4,0,1,0,0,2
103,國立,綜合高中,海事群,16,0,4,0,0,0,0,0
103,國立,綜合高中,藝術群,14,0,0,0,0,0,0,0
103,國立,綜合高中,綜合,6,0,0,0,0,0,0,0
103,國立,實用技能學程,機械群,565,3,31,7,6,0,0,0
103,國立,實用技能學程,動力機械群,131,0,9,4,0,0,0,0
103,國立,實用技能學程,電機與電子群,593,4,47,10,2,0,0,4
103,國立,實用技能學程,土木與建築群,128,0,5,0,0,0,0,0
103,國立,實用技能學程,商業與管理群,687,7,34,22,5,4,0,3
103,國立,實用技能學程,設計群,185,0,4,4,0,0,1,1
103,國立,實用技能學程,農業群,141,0,3,4,0,0,0,0
103,國立,實用技能學程,食品群,266,0,18,6,1,0,0,1
103,國立,實用技能學程,餐旅群,480,0,9,17,1,3,0,4
103,國立,實用技能學程,水產群,22,0,1,0,0,0,0,0
103,國立,實用技能學程,海事群,60,0,17,0,0,0,0,6
103,國立,實用技能學程,美容造型群,158,0,1,6,0,0,0,1
103,國立,進修部,學術群,178,3,18,5,8,0,7,3
103,國立,進修部,機械群,621,1,67,24,6,1,0,2
103,國立,進修部,動力機械群,145,0,20,8,1,1,0,3
103,國立,進修部,電機與電子群,736,2,60,28,2,1,1,3
103,國立,進修部,化工群,99,0,5,2,3,0,0,0
103,國立,進修部,土木與建築群,91,0,12,5,2,0,0,0
103,國立,進修部,商業與管理群,1992,5,72,52,8,5,1,47
103,國立,進修部,外語群,19,0,0,8,1,0,0,0
103,國立,進修部,設計群,197,0,4,11,2,1,0,5
103,國立,進修部,農業群,57,0,0,1,0,0,0,0
103,國立,進修部,食品群,292,0,17,8,0,4,0,5
103,國立,進修部,家政群,275,0,1,13,0,0,0,7
103,國立,進修部,餐旅群,210,0,4,0,2,0,0,4
103,國立,普通科,學術群,41676,21,210,34,778,12,24,44
103,國立,專業群科,機械群,1807,1,26,5,17,0,0,11
103,國立,專業群科,動力機械群,616,0,4,0,8,0,2,4
103,國立,專業群科,電機與電子群,3026,1,19,1,38,3,0,9
103,國立,專業群科,化工群,232,0,0,0,0,0,0,0
