學年度,設立別,學程別,群科別,畢業生人數,未升學就業人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數
103,私立,實用技能學程,電機與電子群,567,51,6,22,18,3,2,0
103,私立,實用技能學程,食品群,286,18,2,6,5,4,1,0
103,私立,實用技能學程,餐旅群,3791,427,27,166,212,12,7,3
103,私立,專業群科,動力機械群,4167,562,26,374,132,18,10,2
103,私立,專業群科,商業與管理群,11879,526,26,272,142,61,17,8
103,私立,專業群科,土木與建築群,183,14,2,3,1,7,1,0
103,私立,專業群科,外語群,5183,126,8,28,31,36,2,21
103,私立,專業群科,家政群,6631,361,37,49,205,37,26,7
103,私立,專業群科,機械群,1757,142,6,78,40,16,0,2
103,私立,專業群科,海事群,47,11,0,11,0,0,0,0
103,私立,專業群科,綜合,408,121,18,0,84,0,19,0
103,私立,專業群科,藝術群,2510,207,5,59,42,81,9,11
103,私立,專業群科,設計群,6564,322,17,89,71,110,10,25
103,私立,專業群科,電機與電子群,10759,784,29,507,185,42,14,7
103,私立,專業群科,食品群,81,16,1,8,7,0,0,0
103,私立,專業群科,餐旅群,20299,1499,64,655,627,87,44,22
103,私立,普通科,學術群,28447,743,11,116,8,581,3,24
103,私立,綜合高中,動力機械群,109,22,0,10,11,1,0,0
103,私立,綜合高中,化工群,179,0,0,0,0,0,0,0
103,私立,綜合高中,商業與管理群,2173,60,2,38,9,7,3,1
103,私立,綜合高中,外語群,1331,32,1,10,1,15,1,4
103,私立,綜合高中,學術群,1990,58,0,25,4,26,1,2
103,私立,綜合高中,家政群,658,14,1,4,4,5,0,0
103,私立,綜合高中,機械群,44,4,0,3,1,0,0,0
103,私立,綜合高中,綜合,291,19,0,4,8,7,0,0
103,私立,綜合高中,藝術群,24,1,0,1,0,0,0,0
103,私立,綜合高中,設計群,718,8,1,4,1,2,0,0
103,私立,綜合高中,電機與電子群,1065,64,1,51,6,3,1,2
103,私立,綜合高中,餐旅群,1562,67,4,45,12,2,3,1
103,私立,進修部,動力機械群,760,95,8,52,32,2,1,0
103,私立,進修部,商業與管理群,2787,333,5,140,156,16,13,3
103,私立,進修部,外語群,436,54,4,22,9,4,7,8
103,私立,進修部,學術群,269,22,0,1,16,0,1,4
103,私立,進修部,家政群,1630,201,30,28,110,26,2,5
103,私立,進修部,機械群,177,14,0,11,2,1,0,0
103,私立,進修部,藝術群,195,31,0,13,13,3,0,2
103,私立,進修部,設計群,572,69,5,22,16,21,4,1
103,私立,進修部,電機與電子群,1101,195,5,106,69,5,10,0
103,私立,進修部,餐旅群,4665,463,18,208,200,12,15,10
104,國立,實用技能學程,動力機械群,228,23,2,11,10,0,0,0
104,國立,實用技能學程,商業與管理群,634,68,6,33,21,4,2,2
104,國立,實用技能學程,土木與建築群,104,5,0,2,3,0,0,0
104,國立,實用技能學程,機械群,578,55,4,28,13,7,3,0
104,國立,實用技能學程,水產群,30,11,4,0,1,6,0,0
104,國立,實用技能學程,海事群,46,17,6,4,4,3,0,0
104,國立,實用技能學程,美容造型群,203,7,1,3,3,0,0,0
104,國立,實用技能學程,設計群,160,16,1,4,11,0,0,0
104,國立,實用技能學程,農業群,178,7,1,2,3,1,0,0
104,國立,實用技能學程,電機與電子群,460,56,2,40,14,0,0,0
104,國立,實用技能學程,食品群,270,24,2,6,9,7,0,0
104,國立,實用技能學程,餐旅群,491,35,0,14,21,0,0,0
104,國立,專業群科,動力機械群,1861,135,3,93,16,19,4,0
104,國立,專業群科,化工群,1443,35,1,21,3,10,0,0
104,國立,專業群科,商業與管理群,10307,216,8,84,36,77,6,5
104,國立,專業群科,土木與建築群,1697,84,3,56,10,15,0,0
104,國立,專業群科,外語群,1475,15,0,3,0,9,2,1
104,國立,專業群科,家政群,1578,29,2,3,6,17,1,0
104,國立,專業群科,機械群,6144,296,23,167,18,77,5,6
104,國立,專業群科,水產群,242,36,1,20,13,2,0,0
104,國立,專業群科,海事群,288,92,0,88,1,1,2,0
104,國立,專業群科,綜合,1140,238,48,7,141,18,24,0
104,國立,專業群科,藝術群,206,11,0,5,1,5,0,0
104,國立,專業群科,設計群,2499,54,3,11,6,26,3,5
104,國立,專業群科,農業群,1906,117,1,49,25,33,5,4
104,國立,專業群科,電機與電子群,7956,364,6,197,31,125,2,3
104,國立,專業群科,食品群,1382,74,0,32,33,9,0,0
104,國立,專業群科,餐旅群,1278,51,0,23,6,21,1,0
104,國立,普通科,學術群,74339,1732,37,274,55,1309,14,43
104,國立,綜合高中,動力機械群,31,1,0,1,0,0,0,0
104,國立,綜合高中,化工群,147,1,0,0,0,1,0,0
104,國立,綜合高中,商業與管理群,1786,64,1,32,13,15,2,1
104,國立,綜合高中,土木與建築群,312,6,0,2,0,4,0,0
104,國立,綜合高中,外語群,359,5,1,1,2,1,0,0
104,國立,綜合高中,學術群,7005,139,0,25,9,98,2,5
104,國立,綜合高中,家政群,132,1,0,0,1,0,0,0
104,國立,綜合高中,機械群,308,17,0,2,6,8,0,1
104,國立,綜合高中,水產群,47,5,0,5,0,0,0,0
104,國立,綜合高中,海事群,9,0,0,0,0,0,0,0
104,國立,綜合高中,綜合,45,2,1,1,0,0,0,0
104,國立,綜合高中,藝術群,10,0,0,0,0,0,0,0
104,國立,綜合高中,設計群,588,15,0,1,3,10,1,0
104,國立,綜合高中,農業群,125,4,0,0,2,2,0,0
104,國立,綜合高中,電機與電子群,530,27,3,10,1,11,1,1
104,國立,綜合高中,食品群,180,7,1,4,0,1,0,1
104,國立,綜合高中,餐旅群,700,34,1,16,10,6,1,0
104,國立,進修部,動力機械群,277,36,0,18,16,2,0,0
104,國立,進修部,化工群,98,16,1,13,2,0,0,0
104,國立,進修部,商業與管理群,1979,125,4,59,50,5,3,4
104,國立,進修部,土木與建築群,147,10,0,2,8,0,0,0
104,國立,進修部,外語群,68,3,0,0,0,0,1,2
104,國立,進修部,學術群,528,14,1,3,2,5,3,0
104,國立,進修部,家政群,245,19,1,5,10,1,2,0
104,國立,進修部,機械群,954,91,1,57,28,4,1,0
104,國立,進修部,設計群,307,18,1,9,5,2,0,1
104,國立,進修部,農業群,66,0,0,0,0,0,0,0
104,國立,進修部,電機與電子群,1029,104,1,74,24,2,3,0
104,國立,進修部,食品群,289,36,0,23,7,0,6,0
104,國立,進修部,餐旅群,200,17,0,10,2,4,1,0
104,私立,實用技能學程,動力機械群,1250,181,2,108,59,8,4,0
104,私立,實用技能學程,商業與管理群,800,61,4,23,23,8,1,2
104,私立,實用技能學程,機械群,62,4,0,3,1,0,0,0
104,私立,實用技能學程,美容造型群,1187,117,22,7,74,4,6,4
104,私立,實用技能學程,設計群,39,0,0,0,0,0,0,0
104,私立,實用技能學程,農業群,14,3,0,2,0,0,1,0
104,私立,實用技能學程,電機與電子群,392,61,0,54,4,2,1,0
104,私立,實用技能學程,食品群,267,30,1,6,19,0,4,0
104,私立,實用技能學程,餐旅群,3541,503,23,154,273,37,14,2
104,私立,專業群科,動力機械群,4297,496,24,324,123,15,10,0
104,私立,專業群科,商業與管理群,8916,430,21,204,118,54,27,6
104,私立,專業群科,土木與建築群,213,17,3,11,0,3,0,0
104,私立,專業群科,外語群,4522,92,13,34,14,15,5,11
104,私立,專業群科,家政群,5854,254,34,22,138,32,24,4
104,私立,專業群科,機械群,1771,91,9,58,10,11,1,2
104,私立,專業群科,海事群,74,28,0,27,0,1,0,0
104,私立,專業群科,綜合,373,108,29,0,71,0,8,0
104,私立,專業群科,藝術群,2400,135,1,27,35,52,5,15
104,私立,專業群科,設計群,6029,267,21,68,50,99,11,18
104,私立,專業群科,電機與電子群,8813,616,34,373,155,39,9,6
104,私立,專業群科,食品群,100,17,0,6,8,0,2,1
104,私立,專業群科,餐旅群,18634,1453,97,611,587,69,44,45
104,私立,普通科,學術群,24285,521,2,95,10,362,9,43
104,私立,綜合高中,動力機械群,125,21,0,14,7,0,0,0
104,私立,綜合高中,化工群,162,0,0,0,0,0,0,0
104,私立,綜合高中,商業與管理群,1327,32,1,16,1,7,6,1
104,私立,綜合高中,外語群,1056,14,0,7,1,2,3,1
104,私立,綜合高中,學術群,1709,59,3,24,6,23,0,3
104,私立,綜合高中,家政群,485,13,0,3,10,0,0,0
104,私立,綜合高中,機械群,42,0,0,0,0,0,0,0
104,私立,綜合高中,綜合,224,12,0,9,3,0,0,0
104,私立,綜合高中,藝術群,24,3,0,1,0,1,1,0
104,私立,綜合高中,設計群,588,9,1,1,1,5,0,1
104,私立,綜合高中,電機與電子群,990,60,1,54,2,3,0,0
104,私立,綜合高中,餐旅群,1541,81,6,57,8,5,1,4
104,私立,進修部,動力機械群,727,115,0,60,48,4,3,0
104,私立,進修部,商業與管理群,2088,266,12,100,132,6,12,4
104,私立,進修部,外語群,311,35,0,5,30,0,0,0
104,私立,進修部,學術群,217,31,5,5,9,6,2,4
104,私立,進修部,家政群,1420,148,6,47,64,10,11,10
104,私立,進修部,機械群,169,16,0,12,3,0,1,0
104,私立,進修部,藝術群,150,11,1,7,3,0,0,0
104,私立,進修部,設計群,416,44,0,12,14,10,7,1
104,私立,進修部,電機與電子群,761,113,9,51,39,5,7,2
104,私立,進修部,餐旅群,4183,479,41,168,203,41,9,17
105,國立,實用技能學程,動力機械群,119,17,0,10,6,0,1,0
105,國立,實用技能學程,化工群,25,1,0,1,0,0,0,0
105,國立,實用技能學程,商業與管理群,565,58,6,27,16,4,4,1
105,國立,實用技能學程,土木與建築群,119,9,0,6,2,1,0,0
105,國立,實用技能學程,機械群,434,39,5,19,12,3,0,0
105,國立,實用技能學程,水產群,30,3,0,2,1,0,0,0
105,國立,實用技能學程,海事群,62,16,1,14,0,1,0,0
105,國立,實用技能學程,美容造型群,178,8,0,2,6,0,0,0
105,國立,實用技能學程,設計群,163,16,3,3,8,2,0,0
105,國立,實用技能學程,農業群,116,6,0,5,1,0,0,0
105,國立,實用技能學程,電機與電子群,494,66,5,50,6,4,1,0
105,國立,實用技能學程,食品群,247,35,1,14,17,1,2,0
105,國立,實用技能學程,餐旅群,467,28,0,9,15,0,4,0
105,國立,專業群科,動力機械群,1809,180,5,119,14,40,2,0
105,國立,專業群科,化工群,1404,40,0,24,3,13,0,0
105,國立,專業群科,商業與管理群,9203,190,13,76,34,51,6,10
105,國立,專業群科,土木與建築群,1628,94,7,51,12,20,1,3
105,國立,專業群科,外語群,1532,18,0,3,0,12,0,3
105,國立,專業群科,家政群,1435,30,0,7,14,8,0,1
105,國立,專業群科,機械群,5802,239,22,116,35,62,4,0
105,國立,專業群科,水產群,210,38,0,24,14,0,0,0
105,國立,專業群科,海事群,241,65,0,50,11,3,1,0
105,國立,專業群科,綜合,1075,247,55,6,164,9,13,0
105,國立,專業群科,藝術群,197,5,0,4,0,1,0,0
105,國立,專業群科,設計群,2417,49,2,8,7,25,2,5
105,國立,專業群科,農業群,1767,120,1,72,30,14,3,0
105,國立,專業群科,電機與電子群,7498,365,12,224,25,99,1,4
105,國立,專業群科,食品群,1237,67,3,32,29,3,0,0
105,國立,專業群科,餐旅群,1338,57,2,23,25,4,3,0
105,國立,普通科,學術群,69804,1427,81,226,39,1048,7,26
105,國立,綜合高中,動力機械群,12,0,0,0,0,0,0,0
105,國立,綜合高中,化工群,97,1,0,0,0,1,0,0
105,國立,綜合高中,商業與管理群,1403,28,1,15,3,9,0,0
105,國立,綜合高中,土木與建築群,276,12,1,4,1,6,0,0
105,國立,綜合高中,外語群,236,4,0,1,0,3,0,0
105,國立,綜合高中,學術群,6123,135,2,18,8,97,2,8
105,國立,綜合高中,家政群,108,2,1,0,1,0,0,0
105,國立,綜合高中,機械群,239,15,0,10,0,5,0,0
105,國立,綜合高中,水產群,28,4,0,4,0,0,0,0
105,國立,綜合高中,海事群,18,3,0,2,1,0,0,0
105,國立,綜合高中,綜合,97,8,1,7,0,0,0,0
105,國立,綜合高中,藝術群,5,1,1,0,0,0,0,0
105,國立,綜合高中,設計群,527,15,1,4,1,9,0,0
105,國立,綜合高中,農業群,102,6,0,1,1,4,0,0
105,國立,綜合高中,電機與電子群,523,19,1,8,2,8,0,0
105,國立,綜合高中,食品群,168,3,0,1,1,1,0,0
105,國立,綜合高中,餐旅群,545,14,1,6,2,4,0,1
105,國立,進修部,動力機械群,261,21,0,14,4,3,0,0
105,國立,進修部,化工群,91,10,0,7,3,0,0,0
105,國立,進修部,商業與管理群,1504,110,4,41,41,14,7,3
105,國立,進修部,土木與建築群,90,1,0,0,1,0,0,0
105,國立,進修部,外語群,65,5,0,1,1,1,2,0
105,國立,進修部,學術群,440,20,1,5,2,6,5,1
105,國立,進修部,家政群,178,7,0,2,4,0,1,0
105,國立,進修部,機械群,747,82,10,45,23,2,1,1
105,國立,進修部,設計群,268,21,0,15,4,1,1,0
105,國立,進修部,農業群,64,14,0,8,6,0,0,0
105,國立,進修部,電機與電子群,806,74,2,58,12,2,0,0
105,國立,進修部,食品群,185,12,0,6,6,0,0,0
105,國立,進修部,餐旅群,218,13,0,10,3,0,0,0
105,私立,實用技能學程,動力機械群,1099,138,3,85,41,5,4,0
105,私立,實用技能學程,商業與管理群,627,59,7,6,38,6,1,1
105,私立,實用技能學程,機械群,130,9,1,6,0,0,2,0
105,私立,實用技能學程,美容造型群,1059,86,4,3,69,2,5,3
105,私立,實用技能學程,農業群,26,6,0,6,0,0,0,0
105,私立,實用技能學程,電機與電子群,365,32,12,16,3,0,1,0
105,私立,實用技能學程,食品群,196,19,0,7,7,3,2,0
105,私立,實用技能學程,餐旅群,3354,409,41,118,224,15,11,0
105,私立,專業群科,動力機械群,4179,383,18,221,118,12,9,5
105,私立,專業群科,商業與管理群,7729,336,24,157,101,41,8,5
105,私立,專業群科,土木與建築群,189,11,0,5,3,2,0,1
105,私立,專業群科,外語群,4880,107,10,23,13,41,6,14
105,私立,專業群科,家政群,5290,290,27,24,186,19,23,11
105,私立,專業群科,機械群,1784,130,15,72,37,3,2,1
105,私立,專業群科,海事群,61,5,0,5,0,0,0,0
105,私立,專業群科,綜合,397,119,58,0,43,1,17,0
105,私立,專業群科,藝術群,2637,146,5,44,42,42,2,11
105,私立,專業群科,設計群,6332,318,18,81,80,113,10,16
105,私立,專業群科,電機與電子群,7977,607,32,353,144,52,15,11
105,私立,專業群科,食品群,103,7,0,1,6,0,0,0
105,私立,專業群科,餐旅群,18074,1267,79,476,541,85,46,40
105,私立,普通科,學術群,24465,533,9,73,17,399,6,29
105,私立,綜合高中,動力機械群,47,12,0,10,0,0,2,0
105,私立,綜合高中,化工群,160,1,0,0,0,1,0,0
105,私立,綜合高中,商業與管理群,861,25,0,18,3,3,0,1
105,私立,綜合高中,外語群,722,20,0,3,1,12,1,3
105,私立,綜合高中,學術群,1548,27,3,9,1,12,1,1
105,私立,綜合高中,家政群,401,11,5,3,2,1,0,0
105,私立,綜合高中,綜合,216,19,0,7,6,3,0,3
105,私立,綜合高中,藝術群,16,3,0,2,1,0,0,0
105,私立,綜合高中,設計群,403,15,3,1,8,2,0,1
105,私立,綜合高中,電機與電子群,534,31,0,27,0,4,0,0
105,私立,綜合高中,餐旅群,1109,67,4,42,13,2,3,3
105,私立,進修部,動力機械群,670,51,2,23,24,0,2,0
105,私立,進修部,商業與管理群,1685,211,2,91,100,8,9,1
105,私立,進修部,外語群,233,30,0,5,12,1,5,7
105,私立,進修部,學術群,288,9,1,5,0,2,1,0
105,私立,進修部,家政群,1420,109,12,19,63,3,10,2
105,私立,進修部,機械群,134,21,0,15,6,0,0,0
105,私立,進修部,藝術群,132,14,0,5,7,0,2,0
105,私立,進修部,設計群,373,23,1,4,9,4,3,2
105,私立,進修部,電機與電子群,583,66,2,26,32,2,3,1
105,私立,進修部,餐旅群,4114,396,15,128,217,17,16,3
106,國立,實用技能學程,動力機械群,148,22,1,12,7,2,0,0
106,國立,實用技能學程,商業與管理群,516,29,1,12,10,3,2,1
106,國立,實用技能學程,土木與建築群,146,12,0,7,4,1,0,0
106,國立,實用技能學程,機械群,517,29,0,15,9,2,3,0
106,國立,實用技能學程,水產群,40,3,0,3,0,0,0,0
106,國立,實用技能學程,海事群,56,11,4,6,1,0,0,0
106,國立,實用技能學程,美容造型群,191,11,0,0,9,0,2,0
106,國立,實用技能學程,設計群,182,8,1,1,6,0,0,0
106,國立,實用技能學程,農業群,143,6,1,1,3,1,0,0
