學年度,設立別,學程別,群科別,畢業生人數,未升學就業人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數
110,私立,專業群科,家政群,3945,273,41,6,164,29,30,3
110,私立,專業群科,機械群,998,34,2,24,5,1,1,1
110,私立,專業群科,海事群,18,0,0,0,0,0,0,0
110,私立,專業群科,藝術群,1904,91,6,22,8,39,5,11
110,私立,專業群科,設計群,3620,99,12,15,41,16,12,3
110,私立,專業群科,農業群,43,4,0,0,2,2,0,0
110,私立,專業群科,電機與電子群,4521,168,11,82,51,14,9,1
110,私立,專業群科,食品群,153,12,1,8,3,0,0,0
110,私立,專業群科,餐旅群,9340,418,22,120,227,22,8,19
110,私立,普通科,學術群,21239,461,12,40,24,332,8,45
110,私立,綜合高中,化工群,139,0,0,0,0,0,0,0
110,私立,綜合高中,商業與管理群,288,1,0,0,0,1,0,0
110,私立,綜合高中,外語群,202,6,0,1,1,0,1,3
110,私立,綜合高中,學術群,539,6,0,1,1,2,1,1
110,私立,綜合高中,家政群,117,2,0,0,0,0,2,0
110,私立,綜合高中,綜合,21,1,0,1,0,0,0,0
110,私立,綜合高中,設計群,65,2,0,1,1,0,0,0
110,私立,綜合高中,電機與電子群,179,9,6,1,0,2,0,0
110,私立,綜合高中,餐旅群,203,10,3,2,0,2,3,0
110,私立,進修部,動力機械群,255,25,0,9,15,1,0,0
110,私立,進修部,商業與管理群,1063,101,3,19,70,3,4,2
110,私立,進修部,外語群,144,7,0,3,3,1,0,0
110,私立,進修部,學術群,117,2,0,2,0,0,0,0
110,私立,進修部,家政群,697,42,4,5,30,0,3,0
110,私立,進修部,機械群,63,4,0,4,0,0,0,0
110,私立,進修部,藝術群,71,6,0,2,1,0,3,0
110,私立,進修部,設計群,217,10,1,1,2,2,3,1
110,私立,進修部,電機與電子群,131,13,2,4,5,1,1,0
110,私立,進修部,餐旅群,2280,172,9,53,82,11,13,4
